DateTime,ProdWorksOrder,PrimarCustType,Customer Category,AmbHum,AmbTemp,M1Rm1,M1Rm2,M1Rm3,M1Rm4,M1Rm5,M1Rm6,M1RmFeed,M1Z1Temp,M1Z2Temp,M1Amp,M1RPM,M1MatP,M1MatT,M1ExitTemp,M2Rm1,M2Rm2,M2Rm3,M2Rm4,M2RmFeed,M2Z1Temp,M2Z2Temp,M2Amp,M2RPM,M2MatP,M2MatT,M2ExitTemp,M3Rm1,M3Rm2,M3Rm3,M3Rm4,M3RmFeed,M3Z1Temp,M3Z2Temp,M3Amp,M3RPM,M3MatP,M3MatT,M3ExitTemp,S1Cot1,S1Cot2,S1Cot3,Tar8,OutcomeVal
06/03/2019 10:52,1,Office,Corporate,17.24,23.53,11.54,200,963,247,53.8,11.3,1241.26,72,72.3,48.03,10.48,436.76,76.3,75.1,12.59,236,601.11,257,200.75,69.37,69.06,73.25,13.89,246.68,68.8,60.1,9.02,186,421.16,200,203.95,78.2,78.4,337.4,13.5,263.71,65.3,65,99.1,108.2,80,20.82,90
06/03/2019 10:52,2,Distribution,Wholesale,17.24,23.53,11.54,200,963,247,32,7.1,1246.09,72,72.3,48.03,10.48,436.77,76.3,75.1,12.59,236,601.11,257,220.16,69.35,69.05,73.19,13.89,246.02,69,60,9.02,186,421.16,200,213.36,78.1,78.4,341.85,13.59,262.88,65.3,65,99.1,109.2,80,19.65,
06/03/2019 10:52,3,College/University,Export,17.24,23.53,11.54,200,963,247,28.4,2,1246.29,72,72.3,48.16,10.48,425.46,76.3,75.1,12.59,236,601.11,257,216.84,69.37,69.07,73.19,13.85,247.18,68.9,60,9.02,186,421.16,200,225.25,78.1,78.5,338.71,14,262.63,65.3,65,99.6,111,80,19.65,100
06/03/2019 10:52,4,Hotel,Corporate,17.24,23.53,11.54,200,963,247,130.2,18.8,1247.59,72,72.3,48.57,10.48,437.01,76.3,75.1,12.59,236,601.11,257,208.61,69.38,69.08,72.81,13.9,249.92,69.1,59.9,9.02,186,421.16,200,213.99,78.1,78.5,339.15,13.67,262.22,65.4,65,99.6,109.2,80,19.65,83
06/03/2019 10:52,5,Hotel,Corporate,17.24,23.53,11.54,200,963,247,76.5,11.7,1252.83,72.1,72.4,48.57,10.48,425.18,76.4,75.1,12.59,236,601.11,257,212.31,69.4,69.07,73,13.89,250.58,68.9,59.9,9.02,186,421.16,200,200.86,78,78.5,337.05,13.72,262.17,65.4,65,99.6,109.8,80,0,27
06/03/2019 10:52,6,Hotel,Corporate,17.24,23.53,11.54,200,963,247,20.5,6,1262.73,72.1,72.4,48.7,10.48,435.23,76.4,75.1,12.59,236,601.11,257,224.17,69.27,69.06,73.19,13.87,247.33,69.2,59.8,9.02,186,421.16,200,208.78,78,78.5,350.49,13.76,261.39,65.4,65,99.6,109.9,80,0,99
06/03/2019 10:52,7,Worship Facility,Retail,17.24,23.53,11.54,200,963,247,38.9,,1306.38,72.1,72.4,48.7,10.45,435.25,76.4,75,12.59,236,601.11,257,210.46,69.27,69.06,73.19,13.87,245.12,69.2,59.8,9.02,186,421.16,200,223.1,77.9,78.5,345.76,13.81,261.03,65.4,65,99.6,109.9,80,20.65,
06/03/2019 10:52,8,Hotel,Corporate,17.24,23.53,11.54,200,963,247,117.7,15.5,1296.13,72.1,72.4,49.78,10.48,439.68,76.4,75,12.59,236,601.11,257,210.21,69.25,68.94,73.19,13.93,248.85,69,59.8,9.02,186,421.16,200,220.17,77.9,78.5,351.83,13.49,260.61,65.4,65,99.6,109,80,20.65,
06/03/2019 10:52,9,Multifamily Housing,Export,17.24,23.53,11.54,200,963,247,53.9,16.5,1251.11,72.1,72.4,49.37,10.48,422.66,76.5,75,12.59,236,601.11,257,201.35,69.25,69.04,73.06,13.93,249.63,69.1,59.9,9.02,186,421.16,200,210.96,77.9,78.5,332.66,13.59,260.59,65.4,65,99.3,109.9,80,0,
06/03/2019 10:52,10,Distribution Center,Export,17.24,23.53,11.54,200,963,247,42.4,7.8,1202.16,72.1,72.4,49.64,10.52,431.83,76.5,75,12.59,236,601.11,257,211.53,69.25,69.04,73.06,13.92,244.42,69.1,59.9,9.02,186,421.16,200,220.74,77.8,78.5,339.5,13.6,260.58,65.4,65,99.3,109.9,80,0,37
